channel x_pos y_pos z_pos
0 -8.0 -1910.0 0.0
1 24.0 -1910.0 0.0
2 -24.0 -1890.0 0.0
3 8.0 -1890.0 0.0
4 -8.0 -1870.0 0.0
5 24.0 -1870.0 0.0
6 -24.0 -1850.0 0.0
7 8.0 -1850.0 0.0
8 -8.0 -1830.0 0.0
9 24.0 -1830.0 0.0
10 -24.0 -1810.0 0.0
11 8.0 -1810.0 0.0
12 -8.0 -1790.0 0.0
13 24.0 -1790.0 0.0
14 -24.0 -1770.0 0.0
15 8.0 -1770.0 0.0
16 -8.0 -1750.0 0.0
17 24.0 -1750.0 0.0
18 -24.0 -1730.0 0.0
19 8.0 -1730.0 0.0
20 -8.0 -1710.0 0.0
21 24.0 -1710.0 0.0
22 -24.0 -1690.0 0.0
23 8.0 -1690.0 0.0
24 -8.0 -1670.0 0.0
25 24.0 -1670.0 0.0
26 -24.0 -1650.0 0.0
27 8.0 -1650.0 0.0
28 -8.0 -1630.0 0.0
29 24.0 -1630.0 0.0
30 -24.0 -1610.0 0.0
31 8.0 -1610.0 0.0
32 -8.0 -1590.0 0.0
33 24.0 -1590.0 0.0
34 -24.0 -1570.0 0.0
35 8.0 -1570.0 0.0
36 -8.0 -1550.0 0.0
37 24.0 -1550.0 0.0
38 -24.0 -1530.0 0.0
39 8.0 -1530.0 0.0
40 -8.0 -1510.0 0.0
41 24.0 -1510.0 0.0
42 -24.0 -1490.0 0.0
43 8.0 -1490.0 0.0
44 -8.0 -1470.0 0.0
45 24.0 -1470.0 0.0
46 -24.0 -1450.0 0.0
47 8.0 -1450.0 0.0
48 -8.0 -1430.0 0.0
49 24.0 -1430.0 0.0
50 -24.0 -1410.0 0.0
51 8.0 -1410.0 0.0
52 -8.0 -1390.0 0.0
53 24.0 -1390.0 0.0
54 -24.0 -1370.0 0.0
55 8.0 -1370.0 0.0
56 -8.0 -1350.0 0.0
57 24.0 -1350.0 0.0
58 -24.0 -1330.0 0.0
59 8.0 -1330.0 0.0
60 -8.0 -1310.0 0.0
61 24.0 -1310.0 0.0
62 -24.0 -1290.0 0.0
63 8.0 -1290.0 0.0
64 -8.0 -1270.0 0.0
65 24.0 -1270.0 0.0
66 -24.0 -1250.0 0.0
67 8.0 -1250.0 0.0
68 -8.0 -1230.0 0.0
69 24.0 -1230.0 0.0
70 -24.0 -1210.0 0.0
71 8.0 -1210.0 0.0
72 -8.0 -1190.0 0.0
73 24.0 -1190.0 0.0
74 -24.0 -1170.0 0.0
75 8.0 -1170.0 0.0
76 -8.0 -1150.0 0.0
77 24.0 -1150.0 0.0
78 -24.0 -1130.0 0.0
79 8.0 -1130.0 0.0
80 -8.0 -1110.0 0.0
81 24.0 -1110.0 0.0
82 -24.0 -1090.0 0.0
83 8.0 -1090.0 0.0
84 -8.0 -1070.0 0.0
85 24.0 -1070.0 0.0
86 -24.0 -1050.0 0.0
87 8.0 -1050.0 0.0
88 -8.0 -1030.0 0.0
89 24.0 -1030.0 0.0
90 -24.0 -1010.0 0.0
91 8.0 -1010.0 0.0
92 -8.0 -990.0 0.0
93 24.0 -990.0 0.0
94 -24.0 -970.0 0.0
95 8.0 -970.0 0.0
96 -8.0 -950.0 0.0
97 24.0 -950.0 0.0
98 -24.0 -930.0 0.0
99 8.0 -930.0 0.0
100 -8.0 -910.0 0.0
101 24.0 -910.0 0.0
102 -24.0 -890.0 0.0
103 8.0 -890.0 0.0
104 -8.0 -870.0 0.0
105 24.0 -870.0 0.0
106 -24.0 -850.0 0.0
107 8.0 -850.0 0.0
108 -8.0 -830.0 0.0
109 24.0 -830.0 0.0
110 -24.0 -810.0 0.0
111 8.0 -810.0 0.0
112 -8.0 -790.0 0.0
113 24.0 -790.0 0.0
114 -24.0 -770.0 0.0
115 8.0 -770.0 0.0
116 -8.0 -750.0 0.0
117 24.0 -750.0 0.0
118 -24.0 -730.0 0.0
119 8.0 -730.0 0.0
120 -8.0 -710.0 0.0
